Reference Code,Solution Name (Eng),Cosine Similarity
S-0251,Self Service Bike Rental Solution,0.9320840835571289
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.8975759148597717
S-0245,Locobike：Automatic Bicycle Rental System,0.8743094801902771
S-0111,Smart car park solution,0.7277911305427551
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.7207682132720947
S-0264,Smart Parking with Video Analytics,0.7198380827903748
S-0232,"""Smart"" Car Park Management System",0.7127907872200012
S-0062,Parkingbnb,0.7056378126144409
S-0081,iQ-Road and Traffic Management,0.7038412690162659
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.7017171382904053
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.6855587959289551
S-0116,Smart Parking Solution,0.671027660369873
S-0039,iQ-Dwell Time Management System,0.665926992893219
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.6552393436431885
S-0119,Ziizau - Optimization of route design,0.6379678249359131
S-0065,Smart Mobility,0.6316992044448853
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.630705714225769
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.6281206607818604
S-0262,Mobile application development,0.6271692514419556
S-0009,Precise And Responsive Indoor Location Tracking,0.6233841776847839
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.619367778301239
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.6187117695808411
S-0108,SparkXIO Smart Car Park Management System,0.6185829639434814
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.6161698698997498
S-0266,Site Audit and Inspection Recording System,0.6161170601844788
S-0044,AI Escalator Safety Monitoring System,0.6151794791221619
S-0040,RVM One Stop Recycling Solution,0.6131865978240967
S-0072,Digital Twin of the City (or Town),0.6110339760780334
S-0296,BLOK Pass App for Travel Bubble,0.6100922226905823
S-0106,"Smart bin trash collection solution, especially remote area",0.6100113391876221
S-0100,Super Massive 3D Model Data Expert,0.6023181676864624
S-0016,Cyclops -- Smart City & unmanned store solution,0.5980538129806519
S-0035,Document Delivery By Unmanned Vehicle,0.5957859754562378
S-0279,RoomQ virtual waiting room for massive traffic,0.5944725871086121
S-0049,Blockchain Solution,0.5929681062698364
S-0299,Office Delivery Robot,0.5909229516983032
S-0022,A smart lamp pole system with AI-enabled security system,0.5878558158874512
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.5876595377922058
S-0165,Health Monitoring System,0.5867266058921814
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.5859838724136353
S-0075,Altai SuperWiFi Solution,0.5838764905929565
S-0030,IoT Building Access Control System,0.5829765796661377
S-0170,Nixplay Signage,0.5821723937988281
S-0197,WCL Robotic Process Automation Solution,0.579182505607605
S-0300,Smart Guiding Robot,0.5756270289421082
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.5754792094230652
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.5737972855567932
S-0070,Well井 Smart Water Station,0.5734242796897888
S-0231,AI Information push service management system,0.5733235478401184
S-0153,Dynatrace,0.5725519061088562
S-0214,ACX Visitor Management System,0.5711034536361694
S-0043,fieldConnect,0.5709208250045776
S-0091,Next Generation Growable Optical Networks,0.5708107948303223
S-0172,Earthy,0.5690742135047913
S-0069,Citizen Cloud,0.5680621862411499
S-0134,Smart Building - Energy Management and Optimization Solutions,0.5680068731307983
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.5660368204116821
S-0203,Government payment scheme online application and data processing,0.5648252964019775
S-0105,Blockchain solution,0.56191486120224
S-0115,All-in-one event management software,0.5614731311798096
S-0169,Robotic Assistant,0.5609246492385864
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.5601489543914795
S-0190,Una Interactive Training Platform,0.5600731372833252
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.5596957802772522
S-0261,DragOnce Platform,0.5591591000556946
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.55635005235672
S-0205,Centrak Quarantine Management Solution,0.554740309715271
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.5546478629112244
S-0211,Customised Mobile Application solution,0.554237425327301
S-0104,Litbulb Technologies,0.5532560348510742
S-0002,DataCube Data Intelligent Automation Solution,0.5532231330871582
S-0011,Precise Outdoor Crowd Analysis,0.5529699921607971
S-0142,NetMotion Mobility,0.5523902773857117
S-0196,Personnel and Asset positioning management system,0.5523812174797058
S-0254,FormExtractor,0.5516707897186279
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.5511637926101685
S-0010,Precise Facility Crowd Analysis,0.5508259534835815
S-0071,All-in-one Data Center - iDCmini System,0.5505160093307495
S-0097,Smart Home e-Health Monitoring and Care System,0.5491619110107422
S-0001,PixelEye Object Detection,0.5488673448562622
S-0085,SAP Geospatial Asset Management,0.5481926202774048
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.5472418665885925
S-0208,Indoor Map and Positioning for Smart City,0.5443963408470154
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.54438716173172
S-0103,SP-RFID Smart Asset Management System,0.5441082119941711
S-0282,Chatbot Solution - ccRobot,0.5440210700035095
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.5440136194229126
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.5431740283966064
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5426079034805298
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.542563796043396
S-0092,Enable the wireless connectivity for IoT devices,0.5423710942268372
S-0250,UiPath Automation Platform,0.541594386100769
S-0253,Intelligent Face Mask,0.5413097739219666
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.5412036776542664
S-0222,Agorize Innovation Sourcing Platform,0.5410531163215637
S-0242,Queue-it -  Virtual Waiting Room,0.5402579307556152
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.5402511358261108
S-0155,Stella Enterprise Chatbot Builder,0.5402368307113647
S-0036,Intelligent Traffic Monitoring,0.5395675897598267
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5393748879432678
S-0221,AI and IT enhanced learning platform,0.5392751097679138
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5372098684310913
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.5361830592155457
S-0219,"VR Virtual Store, Training & Education System",0.5360262989997864
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5360053777694702
S-0054,TicketME Blockchain Ticketing Platform,0.5348148941993713
S-0171,Augmented Reality (AR) model,0.5345008969306946
S-0047,Smart Taxpayer Services with Machine Learning,0.5341440439224243
S-0259,Software Robotic Solution - iBot,0.5332659482955933
S-0003,GeoSpatial Cloud,0.532256543636322
S-0162,Automate the verification of electronic documents,0.5317572951316833
S-0082,A.I. Contact Center and User Engagement Solution,0.5308620929718018
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.530474066734314
S-0161,LiDAR and Optical Sensing applications for Smart City,0.5304567813873291
S-0083,Smart Pharma Packaging,0.529471755027771
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.5290286540985107
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5288869142532349
S-0213,Radar-based smart motion and position tracking system,0.5286076664924622
S-0166,IXIA BREAKINGPOINT,0.5280053615570068
S-0013,Public Event Tracking and Early Warning Analysis System,0.5256777405738831
S-0034,Cloud Energy Management Platform,0.5241357684135437
S-0152,Datax,0.5235728025436401
S-0048,AI-based Application,0.5231142044067383
S-0120,Raspect-ACE,0.5220303535461426
S-0037,4D Immersive CAVE,0.5206417441368103
S-0087,Smart Citizen and Employee Self-Services,0.5205944776535034
S-0239,InterOps Accelerator,0.5198014378547668
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.5179198980331421
S-0131,ISS Project Management System,0.5176329612731934
S-0156,Neo,0.5173982381820679
S-0031,PowerArena - Smart City Operations Platform,0.5171090364456177
S-0021,ReportNOW,0.5170692205429077
S-0050,Deloitte ASSIST,0.5156466960906982
S-0063,UHD Multi-Channel Video Live Broadcast,0.513145923614502
S-0005,Smart Lamp Pole and Robotic,0.5124920606613159
S-0235,Pixel Eye Safety Helmets Detection,0.5123643279075623
S-0118,Alteryx,0.5102628469467163
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.5100118517875671
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.5098816156387329
S-0273,Talos,0.5096075534820557
S-0127,Event Management technology,0.5086996555328369
S-0101,​LANDRAY Office Automation (OA) system solutions,0.5083446502685547
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5044393539428711
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.5030050277709961
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.5019374489784241
S-0195,SuperAcc Document Intelligence,0.5005933046340942
S-0038,Hybrid Reality Platform,0.5002825260162354
S-0238,Rice Robotics,0.4998023808002472
S-0066,Smart Water Management,0.49973413348197937
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.4994650185108185
S-0045,SAP Big Data Solution,0.4993075132369995
S-0059,EMF Workplaces Evaluation Program,0.49885547161102295
S-0135,ISS Analytics Services,0.49799883365631104
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.4972712993621826
S-0207,Pandemic Management System,0.4970427453517914
S-0228,eClass Corporate Learning Management System (LMS),0.4968331456184387
S-0114,Worker Insights,0.4965488314628601
S-0094,Digital Transformation with Low code development platform,0.496448278427124
S-0051,Insight Driven Organization (IDO),0.4961276054382324
S-0289,Life Planning & Blockchain,0.495885968208313
S-0174,VR Training & Education System,0.4936002492904663
S-0126,Self Service Business Intelligence,0.4931274354457855
S-0240,Multilingual Voice Assistant,0.4930819869041443
S-0236,Workflow automation solution,0.49306726455688477
S-0107,POARD Your Presentation Stage,0.4926222562789917
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.4925241470336914
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.4917517900466919
S-0292,Telepresence and Video Conferencing Solution,0.49159324169158936
S-0089,Smart Infrastructure Projects Planning and Execution,0.4912407696247101
S-0267,Smart Fever Screening System,0.49082615971565247
S-0099,NB IoT Sensor Solution,0.48978912830352783
S-0215,Self Check-in system for self-quarantined personal,0.4886961281299591
S-0042,Smart Water Duct Valve for shared Housing,0.4885026514530182
S-0159,Integrated Smart Film Solutions,0.4856630563735962
S-0143,Cyberbit,0.4851972162723541
S-0084,NFC Product Authentication,0.4851483106613159
S-0218,Chief,0.48376554250717163
S-0163,Ai-Knowie,0.48205506801605225
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.4817516803741455
S-0255,Authgear,0.4809931516647339
