Reference Code,Solution Name (Eng),Cosine Similarity
S-0027,Big Data Enabler Service (project based),0.8320621252059937
S-0060,FROM Network Audit Programs,0.814275860786438
S-0230,STEMHUB Education Platform,0.8142139911651611
S-0195,SuperAcc Document Intelligence,0.8094868659973145
S-0058,IoT Cybersecurity Testing and Certification Program,0.7894600033760071
S-0221,AI and IT enhanced learning platform,0.7825517654418945
S-0239,InterOps Accelerator,0.7794598340988159
S-0031,PowerArena - Smart City Operations Platform,0.7738903164863586
S-0003,GeoSpatial Cloud,0.7703735828399658
S-0137,Splunk,0.7699183225631714
S-0046,SAP Digital Boardroom,0.7645015716552734
S-0209,Control-M (BMC Software),0.7587422132492065
S-0231,AI Information push service management system,0.7571730613708496
S-0093,DataOS System,0.7510146498680115
S-0089,Smart Infrastructure Projects Planning and Execution,0.7502605319023132
S-0228,eClass Corporate Learning Management System (LMS),0.7465105056762695
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.7458505630493164
S-0126,Self Service Business Intelligence,0.7448757886886597
S-0203,Government payment scheme online application and data processing,0.7442967891693115
S-0072,Digital Twin of the City (or Town),0.740456759929657
S-0225,DocAnalyzer - Document Review Solution,0.7401502132415771
S-0026,Knowledge Management Solution (KM Power),0.7370535135269165
S-0275,SMore-OCR,0.7361644506454468
S-0090,Smart Employee Learning Management,0.7358020544052124
S-0049,Blockchain Solution,0.7345072627067566
S-0216,BMC Helix Service & Operations Management,0.7341887950897217
S-0085,SAP Geospatial Asset Management,0.7307300567626953
S-0254,FormExtractor,0.7250558137893677
S-0002,DataCube Data Intelligent Automation Solution,0.7248718738555908
S-0082,A.I. Contact Center and User Engagement Solution,0.7243014574050903
S-0051,Insight Driven Organization (IDO),0.7230891585350037
S-0143,Cyberbit,0.7172002792358398
S-0001,PixelEye Object Detection,0.716816246509552
S-0010,Precise Facility Crowd Analysis,0.7159730195999146
S-0246,Remo Video Conferencing,0.7159454822540283
S-0252,Critical Event Management,0.7138751745223999
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.7135286331176758
S-0152,Datax,0.7133965492248535
S-0052,OpenCloud CMP,0.7129194736480713
S-0038,Hybrid Reality Platform,0.7097077369689941
S-0047,Smart Taxpayer Services with Machine Learning,0.7065340280532837
S-0300,Smart Guiding Robot,0.7064819931983948
S-0045,SAP Big Data Solution,0.7063250541687012
S-0096,Clare.AI Asian Language Chatbot Solutions,0.7062844038009644
S-0248,OFS Website Tracking System,0.7061578035354614
S-0283,All-in-one Mobile Productivity Platform,0.7052897214889526
S-0114,Worker Insights,0.7050294876098633
S-0244,ServiceNow - ITSM solution,0.70167076587677
S-0083,Smart Pharma Packaging,0.7015687823295593
S-0016,Cyclops -- Smart City & unmanned store solution,0.6991624236106873
S-0241,Intelligent Data Platform,0.6991113424301147
S-0013,Public Event Tracking and Early Warning Analysis System,0.6930615305900574
S-0113,Video Analytics Solution,0.6921194791793823
S-0101,​LANDRAY Office Automation (OA) system solutions,0.6917882561683655
S-0259,Software Robotic Solution - iBot,0.6885099411010742
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.6857929229736328
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.6854267120361328
S-0265,Business Process Management Platform,0.6850266456604004
S-0123,Complete Encryption with HSM,0.6826028823852539
S-0169,Robotic Assistant,0.6821396350860596
